what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1558370925406
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1558370930550
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1558370931115
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1558370931793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1558370935512
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1558370935965
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1558370937465
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1558370938199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371033009
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371033712
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1558371033759
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1558371045643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371062681
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371064008
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1558371064059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371104036
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371110679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1558371111023
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371114413
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1558371116942
