what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1559152776887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559152782622
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1559152785637
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559152786919
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559152790669
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152793903
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152807294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152815934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152819372
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152820137
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1559152820153
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559152820778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152823903
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559152828169
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152828794
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152871887
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559152880622
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152885012
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152892059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152902950
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152911575
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559152932762
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152942778
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152942778
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152942887
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152949106
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559152971184
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152973434
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152980653
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152981715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152985497
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152986715
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152987762
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1559152988809
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.stop",1559152989887
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559152991419
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559153049512
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1559153050309
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559153055559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1559153055590
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559153062356
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1559153067700
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559153070575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559153075981
