what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069128915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069217899
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069220196
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1559069220196
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069225884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069227774
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1559069227868
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1559069227884
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069239634
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1559069239649
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069246978
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1559069258540
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559069266931
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069311556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069319649
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069325040
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069330884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069356212
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069369837
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1559069399228
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1559069401181
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1559069401587
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069402384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1559069402415
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559069402884
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069422884
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1559069426868
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1559069427603
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069438665
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1559069438696
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069453009
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1559069454868
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069455524
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559069456337
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069466618
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069469228
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069472071
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069476056
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069479009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069484946
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069487556
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1559069488493
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069489821
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559069490853
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1559069517009
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1559069517259
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559069525009
activated,editor,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1559069583024
