what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559154363298
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1559154364744
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559154366096
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559154366567
activated,perspective,org.eclipse.jst.j2ee.ui,1.1.503.v201201190400,"org.eclipse.jst.j2ee.J2EEPerspective",1559154371704
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1559154373371
executed,command,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.run",1559154374439
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154475491
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154506652
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1559154507584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1559154524822
started,bundle,org.eclipse.jst.jsf.facelet.core,1.0.100.v201104191527,"org.eclipse.jst.jsf.facelet.core",1559154529642
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559154530611
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154533192
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154546899
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154550829
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154552368
activated,view,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui.ServersView",1559154553419
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1559154559227
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154562897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154564740
opened,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1559154564958
activated,editor,org.eclipse.jst.jsp.ui,1.1.602.v201112071516,"org.eclipse.jst.jsp.core.jspsource.source",1559154565058
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.navigate.openResource",1559154565058
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154566775
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.findReplace",1559154566811
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154573429
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1559154633977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154635569
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154643150
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1559154644098
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1559154644443
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1559154644884
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1559154645643
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1559154647539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1559154648073
